fichier;source;artiste_fichier;titre_fichier;resultat;score;artiste_discogs;titre_discogs;genre;style;annee;label;release_id
2016-03-31\Alle-Farben_-_Tempelhof-Joachim-Pastor-Remix.mp3;tags;Alle Farben;Tempelhof (Joachim Pastor Remix);MATCH;100.0;Alle Farben;Tempelhof (Joachim Pastor Remix);Electronic;Tech House;2013;Kallias;4617630
2016-03-31\Betoko_-_Supersonic-Tube--Berger-Remix.mp3;tags;Betoko;Supersonic (Tube & Berger Remix);MATCH;100.0;Betoko;Supersonic (Tube & Berger Remix);Electronic;Tech House;2013;OFF Recordings;5105633
2016-03-31\DUSTY-KID_-_linchesque--boxer-recordings.mp3;tags;Dusty Kid;Linchesque;MATCH;94.0;Dusty Kid;Lynchesque;Electronic;Techno/Minimal;2009;Boxer Recordings;1669211
2016-03-31\Dole--Kom-Kollmorgen_-_Silence-feat-Kollmorgen-MollonoBass-Remix.mp3;tags;Dole & Kom, Kollmorgen;Silence (feat. Kollmorgen) (Mollono.Bass Remix);MATCH;100.0;Dole & Kom;Silence (Mollono.Bass Remix);Electronic;Tech House/Deep House;2015;3000°;7437492
2016-03-31\Dualitik_-_Battle-Of-Sense-Worakls-Remix.mp3;tags;Dualitik;Battle Of Sense (Worakls Remix);NON;0.0;;;;;;;
2016-03-31\HVOB_-_Window-Gui-Boratto-Remix.mp3;tags;HVOB;Window (Gui Boratto Remix);MATCH;100.0;HVOB;Window (Gui Boratto Remix);Electronic;Deep House;2014;Stil Vor Talent;6365179
2016-03-31\Joachim-Pastor_-_Oulan-Bator-Original-Mix.mp3;tags;Joachim Pastor;Oulan Bator (Original Mix);MATCH;100.0;Joachim Pastor;Oulan Bator;Electronic;Electro House;2015;Hungry Music;7501158
2016-03-31\Joris-Delacroix_-_Air-France-SYNAPSON-Remix.mp3;tags;Joris Delacroix;Air France (SYNAPSON Remix);MATCH;100.0;Joris Delacroix;Air France (Synapson Remix);Electronic;Electro/Techno/Progressive House;2013;Way Of House;7826005
2016-03-31\Kolombo-Kagomba_-_Kagomba-Andhim-Remix.mp3;tags;Kolombo, Kagomba;Kagomba (Andhim Remix);MATCH;100.0;Kolombo;Kagomba (Andhim Remix);Electronic;House;2010;Kittball Records;2318326
2016-03-31\Massive-Attack_-_Paradise-Circus-Gui-Boratto-Remix.mp3;tags;Massive Attack;Paradise Circus (Gui Boratto Remix);MATCH;100.0;Massive Attack;Paradise Circus (Gui Boratto Remix);Electronic;Trip Hop/Downtempo;2010;The Vinyl Factory;2126330
2016-03-31\Maurice-Aymard--Gui-Boratto_-_Home.mp3;tags;Maurice Aymard & Gui Boratto;Home;NON;0.0;;;;;;;
2016-03-31\Oliver-Koletzki-feat-Leslie-Clio_-_No-Man-No-Cry-Worakls-Remix.mp3;tags;Oliver Koletzki (feat Leslie Clio);No Man No Cry (Worakls Remix);MATCH;100.0;Oliver Koletzki;No Man No Cry (Worakls Remix);Electronic;House;2014;Stil Vor Talent;7594511
2016-03-31\Red-Hot-Chili-Peppers_-_Scar-Tissue-Nto-Remix.mp3;tags;Red Hot Chili Peppers;Scar Tissue (N'to Remix);NON;80.0;Red Hot Chili Peppers;Scar Tissue;;;;;
2016-03-31\Stephan-Bodzin_-_Wir-Edu-Imbernon-amp-Coyu-Remix.mp3;tags;Stephan Bodzin;Wir (Edu Imbernon & Coyu Remix);MATCH;100.0;Stephan Bodzin;Wir (Edu Imbernón & Coyu Remix);Electronic;Tech House/Techno/Deep House;2015;Herzblut Recordings;7740558
2016-03-31\The-XX_-_Crystalised-Joris-Delacroixs-Added-Stuff.mp3;tags;The XX;Crystalised-Joris-Delacroixs-Added-Stuff;NON;65.9;The xx;Crystalised;;;;;
2016-03-31\Wolfgang-Lohr-Miss-NatNat-amp-Artenvielfalt_-_Sunbelt-Regret-MollonoBass-Remix.mp3;tags;Wolfgang Lohr, Miss NatNat, Artenvielfalt;Sunbelt Regret (Mollono.Bass Remix);MATCH;100.0;Miss NatNat;Sunbelt Regret (Mollono.Bass Remix);Electronic;Tech House;2012;Acker Records;4107707
2016-03-31\Worakls_-_Adagio-For-Square-Club-Mix.mp3;tags;Worakls;Adagio For Square;MATCH;100.0;Worakls;Adagio For Square;Electronic;Tech House/Progressive House;2015;FFRR Records Ltd.;7503961
2016-03-31\Worakls_-_From-Now-On-Original-Mix.mp3;tags;Worakls;From Now On (Original Mix);MATCH;100.0;Worakls;From Now On;Electronic;Tech House;2015;Hungry Music;7637372
2016-03-31\Worakls_-_Salzburg-Original-Mix.mp3;tags;Worakls;Salzburg (Original Mix);MATCH;100.0;Worakls;Salzburg;Electronic;Tech House;2014;Hungry Music;7500892
2016-03-31\Worakls_-_Toi-Original-Mix.mp3;tags;Worakls;Toi (Original Mix);MATCH;100.0;Worakls;Toi;Electronic;Tech House;2015;Hungry Music;7500940
2016-05-04\Archive_-_Again-Maceo-Plex-Remix.mp3;tags;Archive;Again (Maceo Plex Remix);NON;77.5;Archive;Again (Simon Raymonde Remix);;;;;
2016-05-04\Bob-Moses_-_Far-From-The-Tree.mp3;tags;Bob Moses;Far From The Tree (Original Mix);MATCH;100.0;Bob Moses (5);Far From The Tree;Electronic;House/Deep House;2013;Scissor and Thread;5092726
2016-05-04\Confute_-_On-The-Hour-Original-Mix.mp3;tags;Confute;On The Hour (Original Mix);MATCH;100.0;Confute;On The Hour;Electronic;Techno;2014;Gem Records (6);6956311
2016-05-04\Der-Dritte-Raum_-_Hale-Bopp-Original-Mix-1998.mp3;tags;Der-Dritte-Raum;Hale-Bopp-Original-Mix-1998;NON;74.9;Der Dritte Raum;Hale Bopp (Meteoriten Version);;;;;
2016-05-04\Gardens-Of-God_-_Fiddler-Original-Mix.mp3;tags;Gardens Of God;Fiddler (Original Mix);MATCH;100.0;Gardens Of God;Fiddler;Electronic;Tech House;2014;Ellum Audio;6263490
2016-05-04\Maceo-Plex_-_Conjure-Floyd.mp3;tags;Maceo Plex;Conjure Floyd;MATCH;100.0;Maceo Plex;Conjure Floyd;Electronic;Techno;2014;Drumcode;6415291
2016-05-04\Max-Cooper_-_Woven-Ancestry-Lusine-Remix.mp3;tags;Max Cooper;Woven Ancestry (Lusine Remix);MATCH;100.0;Max Cooper;Woven Ancestry (Lusine Remix);Electronic;Techno/Tech House/Dubstep;2014;Fields;5904576
